subject,run,layer,modality,data,volume,focus
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,4.2794671058654785,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,2.0430896282196045,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,3.5443115234375,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,2.816190004348755,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,2.219602346420288,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,1.7189610004425049,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,0.8238637447357178,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,1.287631869316101,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,0.6674612760543823,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,0.517659604549408,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,1.5610748529434204,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,1.292224645614624,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,1.3858692646026611,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,4.270932197570801,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,2.0591013431549072,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,2.3656516075134277,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,6.734254360198975,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,2.17771053314209,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,1.900570034980774,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,6.335141181945801,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,1.0963151454925537,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,0.2271106243133545,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,3.6714797019958496,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,-0.07703520357608795,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,-0.5731102824211121,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,1.5572150945663452,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,-0.11838117986917496,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,-0.2153172641992569,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,0.9150480031967163,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,-0.11515820771455765,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,-0.4975067973136902,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,0.3847390413284302,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,-0.43796077370643616,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,-1.0613815784454346,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,-0.2707445025444031,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,-0.36851388216018677,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,-0.7406116724014282,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,-0.4407680332660675,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,1.0012542009353638,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,1.097295880317688,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,0.17094600200653076,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,1.2968642711639404,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,2.469958782196045,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,2.0109386444091797,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.5512403249740601,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,3.4304356575012207,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,4.076757431030273,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.9727531671524048,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,3.52683162689209,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,4.528397083282471,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.5909078121185303,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,2.8397789001464844,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,3.0762295722961426,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.19664904475212097,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,2.2909224033355713,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,2.540640115737915,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.34038373827934265,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,1.2959040403366089,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,1.3925999402999878,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,-0.08934953063726425,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,-0.1518031358718872,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,0.6105812788009644,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,-1.58953857421875,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,-0.9229966402053833,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,0.3076992630958557,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,-1.3998059034347534,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,-0.6420773863792419,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,0.5048500299453735,10,s1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,0.31097885966300964,1,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,1.3417648077011108,1,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,1.4787577390670776,1,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,1.026957631111145,2,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,3.2526988983154297,2,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,3.8944053649902344,2,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,deep,BOLD,1.0272420644760132,3,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,middle,BOLD,3.4489102363586426,3,v1
sub-06,sub-06_ses-001_task-eventStim_run-001,superficial,BOLD,4.700280666351318,3,v1
