subject,data,modality,layer,contrast,focus,runType,session,design,statType
sub-05,1.1027187749388672,VASO,1,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,1.51146510085091,VASO,2,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,1.826859156734177,VASO,3,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,1.9965203613615954,VASO,4,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,2.26475548873154,VASO,5,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,2.652442036791051,VASO,6,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,3.3067552174599664,VASO,7,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,3.323654920209286,VASO,8,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,2.6394438636580517,VASO,9,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,-0.07183118469335815,VASO,10,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,-2.3188091963529587,VASO,11,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-05,0.33497475806091515,VASO,1,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.36171674259627856,VASO,2,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.17313433225665772,VASO,3,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.360632568382873,VASO,4,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.5735910713600998,VASO,5,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,1.0400931408747713,VASO,6,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,1.093102959107678,VASO,7,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,1.0896195088794758,VASO,8,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.46729977332585143,VASO,9,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,-0.1740703087892722,VASO,10,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,-0.6638553028127977,VASO,11,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,72.77275036062512,VASO,1,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,94.5551579495271,VASO,2,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,107.6967773607799,VASO,3,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,116.992204446059,VASO,4,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,136.0063356573765,VASO,5,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,167.7630667179189,VASO,6,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,210.91572646374973,VASO,7,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,217.35255543021267,VASO,8,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,168.12157755272062,VASO,9,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,26.279901428656146,VASO,10,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,-92.8806152003152,VASO,11,visuotactile,s1,blockStim,ses-001,blockStim,cope
