subject,data,modality,layer,stimType,contrast,focus,runType
sub-09,3.6347357522531905,VASO,7,blockStimLongTR,visiotactile,s1,blockStim
sub-09,3.6285245948985443,VASO,8,blockStimLongTR,visiotactile,s1,blockStim
sub-09,2.7887993220995355,VASO,9,blockStimLongTR,visiotactile,s1,blockStim
sub-09,1.678424585897189,VASO,10,blockStimLongTR,visiotactile,s1,blockStim
sub-09,0.6900755141462599,VASO,11,blockStimLongTR,visiotactile,s1,blockStim
sub-09,0.4998106169736102,BOLD,1,blockStim,visiotactile,s1,blockStim
sub-09,0.22066032594442367,BOLD,2,blockStim,visiotactile,s1,blockStim
sub-09,0.20521682519465684,BOLD,3,blockStim,visiotactile,s1,blockStim
sub-09,0.6805754168520844,BOLD,4,blockStim,visiotactile,s1,blockStim
sub-09,1.535481350750235,BOLD,5,blockStim,visiotactile,s1,blockStim
sub-09,2.7048984135172383,BOLD,6,blockStim,visiotactile,s1,blockStim
sub-09,3.420287202379447,BOLD,7,blockStim,visiotactile,s1,blockStim
sub-09,4.186120447549802,BOLD,8,blockStim,visiotactile,s1,blockStim
sub-09,4.239882605788591,BOLD,9,blockStim,visiotactile,s1,blockStim
sub-09,3.9881096044794107,BOLD,10,blockStim,visiotactile,s1,blockStim
sub-09,3.545510997880428,BOLD,11,blockStim,visiotactile,s1,blockStim
sub-09,0.49450584051720353,VASO,1,blockStim,visiotactile,s1,blockStim
sub-09,0.15987166652828455,VASO,2,blockStim,visiotactile,s1,blockStim
sub-09,0.17529639809702832,VASO,3,blockStim,visiotactile,s1,blockStim
sub-09,0.5150298408143932,VASO,4,blockStim,visiotactile,s1,blockStim
sub-09,1.0562394709616412,VASO,5,blockStim,visiotactile,s1,blockStim
sub-09,1.5843188538873458,VASO,6,blockStim,visiotactile,s1,blockStim
sub-09,1.722050274948261,VASO,7,blockStim,visiotactile,s1,blockStim
sub-09,1.639874605545357,VASO,8,blockStim,visiotactile,s1,blockStim
sub-09,1.1573095190488583,VASO,9,blockStim,visiotactile,s1,blockStim
sub-09,0.5314566331679742,VASO,10,blockStim,visiotactile,s1,blockStim
sub-09,0.18142622130967323,VASO,11,blockStim,visiotactile,s1,blockStim
sub-09,-0.31913883348516675,BOLD,1,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.20744258004799485,BOLD,2,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.06646080385835376,BOLD,3,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.011891924066557771,BOLD,4,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.13831781219766423,BOLD,5,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.0927473526338444,BOLD,6,blockStimVisOnly,visual,s1,blockStim
sub-09,0.040361474007915926,BOLD,7,blockStimVisOnly,visual,s1,blockStim
sub-09,0.4857773523388514,BOLD,8,blockStimVisOnly,visual,s1,blockStim
sub-09,0.7394637317507418,BOLD,9,blockStimVisOnly,visual,s1,blockStim
sub-09,1.0450909384824814,BOLD,10,blockStimVisOnly,visual,s1,blockStim
sub-09,0.8717795897009117,BOLD,11,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.11893436352589301,VASO,1,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.23744740371406078,VASO,2,blockStimVisOnly,visual,s1,blockStim
sub-09,-0.14433536819027115,VASO,3,blockStimVisOnly,visual,s1,blockStim
sub-09,0.03251826526626708,VASO,4,blockStimVisOnly,visual,s1,blockStim
sub-09,0.21297721873174924,VASO,5,blockStimVisOnly,visual,s1,blockStim
sub-09,0.44672699224696877,VASO,6,blockStimVisOnly,visual,s1,blockStim
sub-09,0.3866107569706133,VASO,7,blockStimVisOnly,visual,s1,blockStim
sub-09,0.4545069818537849,VASO,8,blockStimVisOnly,visual,s1,blockStim
sub-09,0.35072117174366635,VASO,9,blockStimVisOnly,visual,s1,blockStim
sub-09,0.31685951123467815,VASO,10,blockStimVisOnly,visual,s1,blockStim
sub-09,0.16227847658585579,VASO,11,blockStimVisOnly,visual,s1,blockStim
sub-09,2.217674973480245,BOLD,1,blockStimVisOnly,visual,v1,blockStim
sub-09,4.268032822365823,BOLD,2,blockStimVisOnly,visual,v1,blockStim
sub-09,6.663832385470902,BOLD,3,blockStimVisOnly,visual,v1,blockStim
sub-09,8.342146097774236,BOLD,4,blockStimVisOnly,visual,v1,blockStim
sub-09,8.611551556220421,BOLD,5,blockStimVisOnly,visual,v1,blockStim
sub-09,7.848767176270485,BOLD,6,blockStimVisOnly,visual,v1,blockStim
sub-09,5.529487952589989,BOLD,7,blockStimVisOnly,visual,v1,blockStim
sub-09,1.617338968281235,BOLD,8,blockStimVisOnly,visual,v1,blockStim
sub-09,-1.3348290060387282,BOLD,9,blockStimVisOnly,visual,v1,blockStim
sub-09,-4.1668151866931185,BOLD,10,blockStimVisOnly,visual,v1,blockStim
sub-09,-3.942849868024962,BOLD,11,blockStimVisOnly,visual,v1,blockStim
